Código de Barras;Artículo;Peso;Diametro;Metros;Cant. Rollos
1101;1101 Toalla Beige Ancho 20cm Largo 24cm en Caja de 2500u,;;;;
1001A;1001A Toalla Blanca Ancho 20cm Largo 24cm en Caja de 2250u;;;;
1001AA;1001AA Toalla Blanca Ancho 20cm Largo 24cm en Caja de 1900u;;;;
1101A;1101A Toalla Beige Ancho 20cm Largo 24cm en Caja de 2250u;;;;
1101AA;1101AA Toalla Beige Ancho 20cm Largo 24cm en Caja de 1900u;;;;
2010;2010 Toalla Blanca Ancho 20cm Buje de 7,6cm;26,4;30;400;9
2011;2011 Toalla Blanca Ancho 25cm Buje de 7,6cm;26,4;30;400;7
2110;2110 Toalla Beige Ancho 20cm Buje de 7,6cm;26,4;30;400;9
2111;2111 Toalla Beige Ancho 25cm Buje de 7,6cm;26,4;30;400;7
3010;3010 Toalla Blanca Doble Hoja Ancho 20cm Buje de 7,6cm;26,4;30;400;9
3011;3011 Toalla Blanca Doble Hoja Ancho 25cm Buje de 7,6cm;26,4;30;400;7
3110;3110 Toalla Beige Doble Hoja Ancho 20cm Buje de 7,6cm;26,4;30;400;9
3111;3111 Toalla Beige Doble Hoja Ancho 25cm Buje de 7,6cm;26,4;30;400;7
4000;4000 Toalla Blanca Ancho 20cm Buje de 4,6cm;12,9;20;200;9
4001;4001 Toalla Blanca Ancho 20cm Buje de 4,6cm;19,7;23;300;9
4100;4100 Toalla Beige Ancho 20cm en Buje de 4,6cm;12,9;20;200;9
4101;4101 Toalla Beige Ancho 20cm Buje de 4,6cm;19,7;23;300;9
4111;4111 Toalla Blanca Ancho 20cm Buje de 4,6cm;5,6;13;100;9
4150;4150 Toalla Blanca Ancho 20cm Buje de 4,6cm;9;16,5;150;9
6010;6010 Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm;26,4;30;400;7
6010A;6010A Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm;23,8;30;350;7
6011;6011 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm;26,4;30;400;9
6011A;6011A Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm;23,8;30;350;9
6011AA;6011AA Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm;20,2;29;250;9
6012;6012 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm;23,8;29;350;9
6110;6110 Toalla Beige Doble Hoja Ancho 25cm Buje de 7,6cm;26,4;30;400;7
6111;6111 Toalla Ecologica Doble Hoja Ancho 25cm Buje de 7,6cm;26,4;30;400;7
6111A;6111A Toalla Ecologica Doble Hoja Ancho 25cm Buje de 7,6cm;23,8;29;350;7
7300;7300 Jumbo Blanco x 300m;11,8;19;300;19
